Dataset,Nama Kolom,Tipe Data,Jumlah Null,Deskripsi
PhiUSIIL_Phishing_URL,NoOfEqualsInURL,int64,0,-
PhiUSIIL_Phishing_URL,NoOfQMarkInURL,int64,0,-
PhiUSIIL_Phishing_URL,NoOfAmpersandInURL,int64,0,-
PhiUSIIL_Phishing_URL,NoOfOtherSpecialCharsInURL,int64,0,-
PhiUSIIL_Phishing_URL,SpacialCharRatioInURL,float64,0,-
PhiUSIIL_Phishing_URL,IsHTTPS,int64,0,Apakah menggunakan HTTPS
PhiUSIIL_Phishing_URL,LineOfCode,int64,0,-
PhiUSIIL_Phishing_URL,LargestLineLength,int64,0,-
PhiUSIIL_Phishing_URL,HasTitle,int64,0,-
PhiUSIIL_Phishing_URL,Title,object,0,-
PhiUSIIL_Phishing_URL,DomainTitleMatchScore,float64,0,-
PhiUSIIL_Phishing_URL,URLTitleMatchScore,float64,0,-
PhiUSIIL_Phishing_URL,HasFavicon,int64,0,Apakah halaman memiliki favicon
PhiUSIIL_Phishing_URL,Robots,int64,0,-
PhiUSIIL_Phishing_URL,IsResponsive,int64,0,-
PhiUSIIL_Phishing_URL,NoOfURLRedirect,int64,0,-
PhiUSIIL_Phishing_URL,NoOfSelfRedirect,int64,0,-
PhiUSIIL_Phishing_URL,HasDescription,int64,0,-
PhiUSIIL_Phishing_URL,NoOfPopup,int64,0,-
PhiUSIIL_Phishing_URL,NoOfiFrame,int64,0,-
PhiUSIIL_Phishing_URL,HasExternalFormSubmit,int64,0,-
PhiUSIIL_Phishing_URL,HasSocialNet,int64,0,-
PhiUSIIL_Phishing_URL,HasSubmitButton,int64,0,-
PhiUSIIL_Phishing_URL,HasHiddenFields,int64,0,-
PhiUSIIL_Phishing_URL,HasPasswordField,int64,0,Apakah terdapat field password
PhiUSIIL_Phishing_URL,Bank,int64,0,Konten berkaitan dengan bank
PhiUSIIL_Phishing_URL,Pay,int64,0,Konten berkaitan dengan pembayaran
PhiUSIIL_Phishing_URL,Crypto,int64,0,Konten berkaitan dengan crypto
PhiUSIIL_Phishing_URL,HasCopyrightInfo,int64,0,-
PhiUSIIL_Phishing_URL,NoOfImage,int64,0,-
PhiUSIIL_Phishing_URL,NoOfCSS,int64,0,-
PhiUSIIL_Phishing_URL,NoOfJS,int64,0,-
PhiUSIIL_Phishing_URL,NoOfSelfRef,int64,0,-
PhiUSIIL_Phishing_URL,NoOfEmptyRef,int64,0,-
PhiUSIIL_Phishing_URL,NoOfExternalRef,int64,0,-
PhiUSIIL_Phishing_URL,label,int64,0,"0 = legitimate, 1 = phishing"
combined_dataset_features,text,object,0,Isi pesan SMS/email
combined_dataset_features,label,int64,0,"0 = normal, 1 = phishing/spam"
combined_dataset_features,panjang_pesan,int64,0,Jumlah karakter pesan
combined_dataset_features,jumlah_kata,int64,0,Jumlah kata
combined_dataset_features,ada_url,int64,0,Apakah terdapat URL
combined_dataset_features,jumlah_url,int64,0,Jumlah URL
combined_dataset_features,angka_telepon,int64,0,Apakah terdapat nomor telepon
combined_dataset_features,kata_mendesak,int64,0,Apakah terdapat kata mendesak
combined_dataset_features,kata_hadiah,int64,0,Apakah terdapat kata hadiah/promo
combined_dataset_features,kata_sensitif,int64,0,Apakah terdapat kata sensitif
combined_dataset_features,nama_brand,int64,0,Apakah terdapat nama brand/bank
combined_dataset_features,jumlah_tanda_seru,int64,0,Jumlah tanda seru
combined_dataset_features,jumlah_angka,int64,0,Jumlah angka
combined_dataset_features,jumlah_huruf_kapital,int64,0,Jumlah huruf kapital
combined_dataset_features,rasio_huruf_kapital,float64,0,Rasio huruf kapital
combined_dataset_features,simbol,int64,0,Jumlah simbol khusus
combined_dataset_features,panjang_url,int64,0,Panjang URL
combined_dataset_features,url_https,int64,0,Apakah URL menggunakan HTTPS
combined_dataset_features,jumlah_titik_url,int64,0,Jumlah titik pada URL
combined_dataset_features,jumlah_strip_url,int64,0,Jumlah strip pada URL
combined_dataset_features,jumlah_subdomain,int64,0,Jumlah subdomain
combined_dataset_features,url_singkat,int64,0,Apakah menggunakan URL shortener
combined_dataset_features,domain_indo,int64,0,Apakah domain Indonesia
combined_dataset_features,ip_di_url,int64,0,Apakah URL mengandung IP address
combined_dataset_features,Kelas,object,0,-
