text,label,panjang_pesan,jumlah_kata,ada_url,jumlah_url,angka_telepon,kata_mendesak,kata_hadiah,kata_sensitif,nama_brand,jumlah_tanda_seru,jumlah_angka,jumlah_huruf_kapital,rasio_huruf_kapital,simbol,panjang_url,url_https,jumlah_titik_url,jumlah_strip_url,jumlah_subdomain,url_singkat,domain_indo,ip_di_url
Anda sedang menikmati Paket Reguler dgn sisa kuota 209715 KB.Dapatkan beragam Paket INTERNET HEMAT Tri di *123*3#,1,113,17,0,0,0,0,0,0,0,0,10,21,0.25301204819277107,0,0,0,0,0,0,0,0,0
Anda tidak terdaftar dalam layanan Paket Malam hari. Untuk berlangganan lakukan isi ulang dengan voucher Kenyang Download,1,121,17,0,0,0,0,1,0,0,0,0,6,0.057692307692307696,0,0,0,0,0,0,0,0,0
"Anda tlh menukarkan poin 95 poin, Tukarkan terus poinnya siapa tahu anda pemenang hadih LG G3 32gb, pemenang adalah yang menukarkan poin tertinggi s/d 30 November 15",1,165,27,0,0,0,0,1,0,0,0,9,6,0.047244094488188976,0,0,0,0,0,0,0,0,0
AngpaoPoinSenyum! Dptkan Vchr Lottemart 50rb dg tukar 2500poin (normal 5000poin) sd 11Feb16. Ketik *123*7887*2*5# TERBATAS! Info: www.indosatooredoo.com/angpao,1,159,17,1,1,0,0,0,0,0,2,23,17,0.16037735849056603,0,29,0,2,0,0,0,0,0
Awal bulan saat nya anda eksis lebih lama! Internetan pake volume ultima 900MB/30hr. Hrga mulai Rp 35rb di *100*471#. Tarif&lokasi cek di tsel.me/FL,1,148,23,0,0,0,0,0,0,0,1,13,9,0.08737864077669903,0,0,0,0,0,0,0,0,0
"Ayam (sayap/paha bawah), Nasi, Perkedel Rp. 19.545. GRATIS Teh Pucuk. Tukar SMS ini di CFC HASAN SADIKIN hari ini. Selama Persediaan msh ada. Promo *606#",1,153,25,0,0,0,1,1,0,0,0,8,34,0.3148148148148148,0,0,0,0,0,0,0,0,0
"Ayo anak Medan, beli sticker line dengan pulsamu Caranya klik http://www.telkomsel.com/linestore nama stickernya : Kedan Medan",1,126,16,1,1,0,0,0,0,0,0,0,5,0.04854368932038835,0,34,0,2,0,0,0,0,0
AYO download AXISnet dari Apple/Play Store dan aktifkan BRONET24Jam 5GB 60hr Rp44900 dan BRONET24Jam 1GB 30hr dapat OBOR 5GB (00-06) Rp18800. Info838. LD335,1,156,23,0,0,0,0,0,0,0,0,31,39,0.4020618556701031,0,0,0,0,0,0,0,0,0
AYO download AXISnet dari PLAY/Apple Store dan aktifkan BRONET24Jam 5GB 60hr Rp44900 dan BRONET24Jam 3GB 60hr dapat OBOR 10GB (00-06) Rp39800. Info838. LD307,1,157,23,0,0,0,0,0,0,0,0,32,42,0.4329896907216495,0,0,0,0,0,0,0,0,0
Ayo dukung pelestarian alam Indonesia bersama Indosat Ooredoo dan WWF-Indonesia dg berdonasi melalui *123*50# dari nomor Indosat Ooredoo.,1,137,18,0,0,0,0,0,0,1,0,5,10,0.09090909090909091,0,0,0,0,0,0,0,0,0
"Ayo kawal pemanfaatan subsidi BBM & Kompensasi bagi yang berhak! Pengaduan, ketik BBM (spasi) isi pesan. Kirim 1708",1,115,18,0,0,0,0,0,0,0,1,4,10,0.11363636363636363,0,0,0,0,0,0,0,0,0
"BANTING HARGA !! Internetan dgn Kuota 1,5GB HANYA 10rb Rupiah, paket Berlaku sebulan. Mau?? Ketik YA ke 919 s/d 16 Desember 2015",1,128,22,0,0,0,0,0,0,0,2,13,28,0.32558139534883723,0,0,0,0,0,0,0,0,0
BEBAS ekspresikan dirimu bersama Paket Freedom Combo dari Indosat Ooredoo. Segera hub *123# atau www.indosatooredoo.com/freedom,1,127,15,1,1,0,1,0,0,1,0,3,11,0.10576923076923077,0,30,0,2,0,0,0,0,0
Bebas Pulsa! Ambil bonusmu di *600# (GRATIS). Dptkan gratis nelpon atau internetas atau promo lainnya sesuai hobimu!,1,116,17,0,0,0,0,1,0,0,2,3,10,0.1111111111111111,0,0,0,0,0,0,0,0,0
"Beli 1 Gratis 1 untuk Lychee Tea atau Latte Flavour dari Yellow Truck Jl.Patuha No.29. Tukarkan SMS ini. Hanya berlaku untuk hari ini, S&K Berlaku.Promo *606#",1,158,26,0,0,0,1,1,0,0,0,7,20,0.17094017094017094,0,0,0,0,0,0,0,0,0
Beli 2 Gratis 1 atau beli 1 Diskon 25% tiket Kampung Gajah Wonderland Bandung s.d 31 Mei 2013. Tunjukkan SMS kpd Petugas .Info: www.indosat.com/kampunggajah,1,156,24,1,1,0,0,1,0,1,0,11,14,0.12280701754385964,0,28,0,2,0,0,1,0,0
Beli 6 Gratis 6 Donut dari DUNKIN DONUTS BORMA SETIABUDHI. Tukarkan SMS ini segera. Hanya berlaku untuk hari ini. Selama persediaan masih ada. Promo *606#,1,154,25,0,0,0,1,1,0,0,0,5,37,0.31092436974789917,0,0,0,0,0,0,0,0,0
Beli paket Turbo mulai 50rb utk pembelian pertama di MyTelkomsel App sjk 25Aug - 25Sept dpt EXTRA PULSA TSEL Rp 50rb loh! Cek detail paket di tsel.me/mytsel1,1,157,27,0,0,0,0,0,0,0,1,9,23,0.19491525423728814,0,0,0,0,0,0,0,0,0
"Bisa Internetan 1,5GB CUMA dengan 20rb, paket berlaku 90 hari. MAU?? Ketik YA ke 919. Penawaran berlaku s/d 8 Januari 2016",1,122,21,0,0,0,0,0,0,0,0,14,16,0.19753086419753085,0,0,0,0,0,0,0,0,0
"BONUS KUOTA 500MB (1hr)! Cukup isi ulang min. 5,000 hari ini! Ayo buruan isi pulsa sekarang juga. T514",1,102,18,0,0,0,1,1,0,0,2,11,15,0.22388059701492538,0,0,0,0,0,0,0,0,0
BONUS PULSA 10RB! Ayo isi pulsa min. 5rb & dapetkan bonus pulsa 10rb utk nelp ke nmr Tri! Hanya hari ini saja! Ayo buruan isi pulsa! T530,1,137,27,0,0,0,1,1,0,0,4,8,17,0.17525773195876287,0,0,0,0,0,0,0,0,0
"BONUS PULSA 50% dari Indosat Ooredoo, MAU?? Ketik *345# dan call dari HP kamu sebelum 28 April 2016",1,99,18,0,0,0,0,1,0,1,0,11,19,0.2923076923076923,0,0,0,0,0,0,0,0,0
BONUS PULSA 50rb cuma dgn isi ulang 25rb!! Hny Indosat yg bisa begini. Penawaran berlaku s/d 11 April 2016. Bonus 1x utk digunakan ke sesama Indosat Ooredoo,1,156,27,0,0,0,0,1,0,1,2,11,17,0.14912280701754385,0,0,0,0,0,0,0,0,0
BONUS PULSA Rp 100 rb..!! Spesial untuk kamu pelanggan setia Indosat Ooredo.Hanya dengan isi ulang Rp150rb skrg juga! Penawaran berlaku s.d 13 Jan 2016 (bonus hanya 1x),1,168,27,0,0,0,0,1,0,1,3,13,18,0.15,0,0,0,0,0,0,0,0,0
"BONUS Rp. 5,000 untuk kamu! Cukup kirim SMS 2X hari ini untuk mendapatkan bonusnya, khusus hari ini saja!  T483",1,111,19,0,0,0,1,1,0,0,2,8,12,0.1518987341772152,0,0,0,0,0,0,0,0,0
"BONUS Rp. 5,000 untuk kamu! Cukup telpon teman kamu selama 2 menit hari ini untuk mendapatkan bonusnya, khusus hari ini saja!  A010",1,131,22,0,0,0,1,1,0,0,2,8,8,0.08333333333333333,0,0,0,0,0,0,0,0,0
Buktikan hematnya pakai argo tetap di Bandung dengan GrabCar hingga 20%. Hayu ajakan rerencangan sareng buktikeun nyalira!,1,122,17,0,0,0,0,0,0,0,1,2,5,0.04950495049504951,0,0,0,0,0,0,0,0,0
Buruan Download & Registrasi myCare di http://bit.ly/mycarepLy dan dapatkan Promo 10GB (4G) di Paket Freedoom M & L dengan harga khusus HANYA HARI INI.,1,151,24,1,1,0,1,1,0,0,0,3,25,0.21739130434782608,0,23,0,1,0,0,1,0,0
"Butuh Piknik?Ada nih liburan GRATIS ke Hongkong!Cara:Pake pulsa AXIS di HP Androidmu buat transaksi sebanyak2nya items Pokemon Go,BIGO,COC, dll!Info838 LD328",1,157,20,0,0,0,0,1,0,0,2,7,31,0.25,0,0,0,0,0,0,0,0,0
"Buy 2 Get 3 tiket Trans Studio Bandung,mulai 14 Mei-14Juni 2013.Tunjukkan SMS ke petugas di lokasi. Info: www.indosat.com/transstudiobgd",1,136,18,1,1,0,0,0,0,1,0,10,12,0.1188118811881188,0,30,0,2,0,0,1,0,0
cuma Rp 7500 dapat nelpon dan SMS UNLIMITED ke sesama Indosat Ooredoo   internetan sepuasnya 3 hari dengan paket Ramadhan Unlimited. ketik *123*88#,1,147,22,0,0,0,0,0,0,1,0,10,17,0.15454545454545454,0,0,0,0,0,0,0,0,0
"Dapatkan BONUS PULSA hg 50rb jika isi ulang di hari Minggu, isi ulang mulai dr 10rb. Ktk: GRATIS krm ke 123. Panduan: ketik PAN krm ke123. Cek bonus tekan*555*3#",1,161,29,0,0,0,0,1,0,0,0,14,24,0.21818181818181817,0,0,0,0,0,0,0,0,0
"Dapatkan Bonus SMS Kamu. Hanya dg kirim SMS, Kamu akan dapat Bonus Ratusan SMS ke semua operator. Pakai terus Indosat Ooredoo & raih kebebasan berkomunikasi",1,156,25,0,0,0,0,1,0,1,0,0,19,0.1484375,0,0,0,0,0,0,0,0,0
Dapatkan Disc 20% di McDonalds khusus utk pembayaran dgn TCASH TAP!Dptkan stiker TCASH TAP di graPARI terdekat. Info tsel.me/tappromo,1,133,19,0,0,0,0,0,0,0,1,2,26,0.24074074074074073,0,0,0,0,0,0,0,0,0
Dapatkan Disc.30% utk Dominos PAN PIZZA!Roti yg lebih tebal dgn keju terasa sampai pinggir!Mulai Rp45500.Kunjungi toko terdekat/telf 1500366/Klik panpizza.co.id,1,160,19,1,1,0,0,0,0,0,2,14,16,0.13445378151260504,0,14,0,2,0,1,0,1,0
"Dapatkan EXTRA kuota 2GB 4G LTE dan EXTRA nelpon hingga 100mnt/1hr dg beli paket FLASH mulai 1GB di MY TELKOMSEL APP. Buruan, cek  di tsel.me/mytsel1 S&K",1,153,26,0,0,0,0,0,0,0,0,8,41,0.36283185840707965,0,0,0,0,0,0,0,0,0
"Dapatkan GRATIS 1 cappuccino (hot/ice) & Freza, setiap transaksi min Rp75Rb di EXCELSO Cafe Semarang, Yogya, Solo sd 9 Agust 13. Tunjukkan SMS kpd petugas",1,154,25,0,0,0,0,1,0,0,0,6,26,0.22413793103448276,0,0,0,0,0,0,0,0,0
Dapatkan GRATIS Wendy's Crispy Chicken Sandwich dengan minimal pembelian Rp.100.000. Tukarkan SMS ini di Wendy's terdekat! Persediaan terbatas. Promo *606#,1,155,20,0,0,0,0,1,0,0,1,9,19,0.16101694915254236,0,0,0,0,0,0,0,0,0
Dapatkan saldo bermain sebesar Rp 125rb hanya dengan bayar Rp 75rb. Berlaku hari Senin-Kamis. Tukarkan SMS ini segera di Timezone terdekat! Promo *606#,1,151,23,0,0,0,1,1,0,0,1,8,12,0.10434782608695652,0,0,0,0,0,0,0,0,0
"Dapatkan voucher Cipika Rp 100rb utk belanja kuliner, gadget, fashion, dll. Tkn *123*45# pilih Cipika, GRATIS & terbatas. Info: www.indosatooredoo.com/12345",1,156,20,1,1,0,0,1,0,0,0,13,12,0.10909090909090909,0,28,0,2,0,0,0,0,0
"Dear Customer, Kindly values your experience at Telkomsel Service, score between 1(very poor) to 5 (excellent), send SMS to 1166 (FREE) (for int'l charged)",1,155,24,0,0,0,0,1,0,0,0,6,12,0.10526315789473684,0,0,0,0,0,0,0,0,0
Disc.25%  Domino's Pizza Value Range s/d 14 Agustus.Kunjungi store terdekat/hubungi 1500366/visit http://bit.ly/294KoZ6 Kode:VR25D,1,130,13,1,1,0,0,0,0,0,0,17,13,0.14942528735632185,0,21,0,1,0,0,1,0,0
"DISKON 30RIBU khusus pelanggan baru Grab di Bandung. Berlaku 3x: kode promo URANGBANDUNG. Tak usah repot jalanan macet dan susah parkir, Hayu ngeGrab we atuh!",1,158,25,0,0,0,0,1,0,1,1,3,28,0.2222222222222222,0,0,0,0,0,0,0,0,0
DISKON 50% kuota NELPON++ 20 MENIT ke smua operator! Cuma Rp7rb (Normal Rp14rb) dg masa aktif panjang. Balas SMS ini dgn ketik Tri. Hanya HARI INI! V712,1,152,27,0,0,0,1,1,0,0,2,10,35,0.32710280373831774,0,0,0,0,0,0,0,0,0
"DISKON 50% utk Kacamata Lengkap + Bonus Kacamata Hitam, Tunjukan SMS ini di JL Gatot Soebroto 88 T.7333812. S&amp;K Berlaku.Promo*606#",1,134,20,0,0,0,0,1,0,0,0,14,24,0.26373626373626374,0,0,0,0,0,0,0,0,0
Domino's PAN PIZZA!Rotinya lebih tebal dgn keju terasa sampai pinggir! Nikmati Disc.30% dimulai Rp45.500.Kunjungi toko terdekat/telf 1500366/Klik panpizza.co.id,1,160,18,1,1,0,0,0,0,0,2,14,15,0.1271186440677966,0,14,0,2,0,1,0,1,0
DOUBLE kuota internet plus UNLIMITED Telpon dan SMS dengan Paket Freedom Combo dari Indosat Ooredoo. Segera hub *123# atau www.indosatooredoo.com/freedom,1,153,20,1,1,0,1,0,0,1,0,3,25,0.2,0,30,0,2,0,0,0,0,0
Download dan rasakan serunya game-game premium pilihan hanya di *900#,1,69,10,0,0,0,0,0,0,0,0,3,1,0.018518518518518517,0,0,0,0,0,0,0,0,0
"Dptkn Free member card Larissa Aesthetic Center, disc 15% high treatment & asuransi jiwa, tiap isi ulang pulsa Rp 100rb di Galeri Indosat Jateng DIY s.d 31Des 13",1,161,28,0,0,0,0,1,0,1,0,9,13,0.10833333333333334,0,0,0,0,0,0,0,0,0
"Dptkn kesempatan raih hadiah utama mobil Alphard dg cara tukar 500 poin senyum Anda dg 1 kupon Undian s.d tgl 20Jun13,ketik Undian Jmlh Poin ke 7887(Rp25)",1,154,26,0,0,0,0,1,0,0,0,14,9,0.08108108108108109,0,0,0,0,0,0,0,0,0
Dukung rehabilitasi & pengembangan potensi anak berkebutuhan khusus di YPAC Jakarta. Mari berbagi melalui SMS Donasi dengan mengetik *123*65#,1,141,19,0,0,0,0,0,0,0,0,5,11,0.09734513274336283,0,0,0,0,0,0,0,0,0
"Flash Promo s.d 9 Agt! Ayo datangi Gallery Smartfren terdekat, DISKON 290rb dg tukar HP Smartfrenmu ke Andromax 4G LTE atau 190 utk tukar dg MiFi 4G LTE",1,152,28,0,0,0,0,1,0,0,1,9,26,0.23008849557522124,0,0,0,0,0,0,0,0,0
FREE DoubleScoop Ice Cream / Disc 10% di Haagen-Dasz dengan TCASH TAP! S&K berlaku. Info tsel.me/tappromo,1,105,16,0,0,0,0,1,0,0,1,2,22,0.275,0,0,0,0,0,0,0,0,0
"GRATIS 10GB! Bagi yg blm mengganti kartu SIM menjadi SIM 4G, tukarkan skrg di gerai IndosatOoredoo terdekat dan nikmati GRATIS 10GB di jaringan 4G.",1,147,24,0,0,0,0,1,0,0,1,6,27,0.23478260869565218,0,0,0,0,0,0,0,0,0
"GRATIS nelpon kemana saja, ke semua operator! Cukup beli Internet Harian 100MB seharga Rp1500. Balas SMS ini dgn ketik JS utk membeli. N092",1,139,23,0,0,0,0,1,0,0,1,10,19,0.18446601941747573,0,0,0,0,0,0,0,0,0
GRATIS Whatsapp seharian! Cukup beli Internet Harian 100MB seharga Rp1500. Balas SMS ini dgn ketik JR utk membeli. N091,1,119,19,0,0,0,0,1,0,0,1,10,20,0.22727272727272727,0,0,0,0,0,0,0,0,0
Gunakan Grab dan nikmati 75% diskon untuk 10x bagi pengguna baru. Masukkan kode COBAGRABCAR sekarang juga dan ajak teman-temanmu keliling bandung tanp,1,150,22,0,0,0,1,1,0,1,0,4,14,0.11475409836065574,0,0,0,0,0,0,0,0,0
Gunakan GrabCar atau GrabTaxi & dapatkan diskon 35RIBU ke dan dari Stasiun/Bandara di Bandung. Masukkan kode promo GRABTRAVEL hingga pemakaian 30 September 2016. Hatur Nuhun.,1,174,25,0,0,0,0,1,0,0,0,8,26,0.1897810218978102,0,0,0,0,0,0,0,0,0
Gunakan TCASH untuk bayar tagihan listrik atau beli token listrik! Cukup hubungi *800# dan pilih menu pembayaran atau pembelian,1,127,19,0,0,0,0,0,0,0,1,3,7,0.06796116504854369,0,0,0,0,0,0,0,0,0
"Hai Apa Kabar? Ada Bonus Meriah Cukup isi pulsa minimun Rp 5 Ribu s.d 15 November, kamu langsung dapatkan 300 MB GRATIS. Ayo isi pulsa! Bonus utk 3 hari. RL044A",1,160,30,0,0,0,0,1,0,0,1,10,23,0.2,0,0,0,0,0,0,0,0,0
"Hallo Bro, beli koin games pakai pulsamu yuk, mudah banget loh sob, cek http://tsel.me/jajanonline",1,98,14,1,1,0,0,0,0,0,0,0,2,0.025974025974025976,0,26,0,1,0,0,0,0,0
"Hallo urang minang, ado sticker rancak di Group Line Urang Kampuang MINANG GUY, beli pake pulsa Telkomsel",1,105,17,0,0,0,0,0,0,0,0,0,15,0.1724137931034483,0,0,0,0,0,0,0,0,0
"Hanya HARI ini! Freedom Combo XL Cuma Rp 89rb (Normal Rp 149rb) 20GB Music streaming gak pake kuota, UNLIMITED Nelp&SMS. Daftar *123#",1,133,22,0,0,0,1,0,0,0,1,10,30,0.3191489361702128,0,0,0,0,0,0,0,0,0
Hanya HARI INI!!! Cuma dengan seribu kamu langsung dapat 200 MB untuk 3 hari. Cukup balas SMS ini dengan ketik yA4. Buruan beli sekrang TL049B,1,142,25,0,0,0,1,0,0,0,3,8,20,0.19047619047619047,0,0,0,0,0,0,0,0,0
"HARI INI Freedom Combo XL Rp89rb (normal Rp149rb). DOUBLE kuota 5GB+5GB(4G)+ PROMO 10GB(4G), UNLIMITED nelp & SMS ke Indosat Ooredoo. Ketik FREEDOM XL ke 363",1,157,25,0,0,0,1,1,0,1,0,14,56,0.5233644859813084,0,0,0,0,0,0,0,0,0
Hari ini! BRONET 24Jam 3GB 60hr Rp31900 dan BRONETSpecial 6GB 60hr (3GB 24Jam+3GB 00-06) Rp34900 di *123*888# SEGERA aktifkan paketnya sekarang!! Info838 LD300,1,159,23,0,0,0,1,0,0,0,3,38,35,0.39325842696629215,0,0,0,0,0,0,0,0,0
Hari ini!! BRONET Special 4GB (2GB 24Jam+2GB 00-06) 60hr Rp24900 dan BRONET 24Jam 1GB 60hr Rp10900. AYO SEGERA aktifkan paket kamu di *123*888#. Info838 LD309,1,158,25,0,0,0,1,0,0,0,2,38,38,0.4470588235294118,0,0,0,0,0,0,0,0,0
Hari Rabu saatnya blanja di blanja.com & Nikmati diskon spesial untuk transaksi dengan TCASH! S&K Berlaku. Klik blj.co/tcashrabu,1,128,18,1,1,0,0,1,0,0,1,0,12,0.11538461538461539,0,10,0,1,0,0,0,0,0
Hari Senin saatnya Nonton Hemat hanya 25ribu di Cinema XXI dgn TCASH TAP! Dptkan stiker TCASH TAP di graPARI terdekat. Info tsel.me/tappromo,1,140,22,0,0,0,0,0,0,0,1,2,30,0.26548672566371684,0,0,0,0,0,0,0,0,0
"HARI TERAKHIR! Kunjungi Galeri Smartfren skrng, buat kamu Andromax A 4G jd 99rb (nrml 649rb). Tunggu apa lagi?!Stok terbatas.sd 22Agt.S&K.Info888.DL46J",1,151,20,0,0,0,1,0,0,0,2,13,27,0.2523364485981308,0,0,0,0,0,0,0,0,0
"Hayu dateng, mumpung ada ustad Fatih karim,beliau yg mengislamkan ustad Felix siaw",1,82,12,0,0,0,0,0,0,0,0,0,3,0.043478260869565216,0,0,0,0,0,0,0,0,0
Hi! Ayo coba Grab untuk pemesanan taxi yang cepat dan aman. Klik: https://invite.grab.co/37aa4d,1,95,13,1,1,0,0,0,0,1,1,3,4,0.056338028169014086,0,29,1,2,0,1,0,0,0
HOT PROMO! Dptkan EXTRA PULSA TSEL 50rb dg beli paket internet pertama kali di My Telkomsel App sjk 25 Agsts - 25 Sept. Cek detail paketnya di tsel.me/mytsel1,1,158,28,0,0,0,0,1,0,0,1,7,29,0.24369747899159663,0,0,0,0,0,0,0,0,0
"HOT PROMO: Internetan kuota 1,2GB/30hr HANYA Rp 15ribu aja! Beli di *363*822#. Promo s.d 30Juni16. S&K",1,102,16,0,0,0,0,1,0,0,1,16,22,0.36666666666666664,0,0,0,0,0,0,0,0,0
"I’m spreading the GO-JEK love. Download the GO-JEK app at “http://go-jek.com/app” and input this referral code “545075264” to get Rp 50,000 free credit to your first booking. #gojekgotmehere",1,190,28,1,1,0,0,1,0,0,0,14,13,0.09848484848484848,0,22,0,1,1,0,0,0,0
Ikuti JobFairActive & UjiKlyakanKerjaBerstifikat @PlasaTelkomMlg 9Feb13. dptkan platihan Intrview&Rekom kerja ke ribuan Ph. Info: www.indogetjob.com/085233334106,1,161,15,1,1,1,0,0,0,0,0,15,16,0.13008130081300814,0,31,0,2,0,0,0,0,0
Internetan puas kapan aja buat kamu yang butuh kuota besar. Paket SUMO 30GB 30hari semua jaringan. Beli di *123*3*3#. Info 123. D956,1,132,22,0,0,0,0,0,0,0,0,15,11,0.125,0,0,0,0,0,0,0,0,0
"Isi saldo TCASHmu  melalui jaringan ATM Bersama & ATM BCA! Lakukan transfer antar bank, Pilih bank TCASH (Kode bank 911). Gunakan No HP sbg no rekening tujuan.",1,159,27,0,0,0,0,0,1,1,1,3,28,0.22950819672131148,0,0,0,0,0,0,0,0,0
"Isi ulang Kuota++ 3GB berhasil, dan kuota tlh ditambahkan. Nikmati juga BONUS NELPON ke semua Tri Rp10rb, cek bonus di *111*2# atau BimaTri.",1,140,23,0,0,0,0,1,0,0,0,7,20,0.19607843137254902,0,0,0,0,0,0,0,0,0
Isi ulang Rp50000.0 berhasil. Kode transaksi 99100827288792. Cek *123*888# untuk promo RABU RAWIT & JUMAT BAIK buat semua Pelanggan AXIS!,1,137,20,0,0,1,0,1,0,0,1,26,27,0.32142857142857145,0,0,0,0,0,0,0,0,0
Jalani ibadah Haji dg nyaman tnpa prlu ganti kartu lokal.Nikmati GRATIS 2menit/hr trima telp dr IndosatOoredoo&Internet UNLIMITED Rp30Rb/hari.Info: *122*1# PAI3,1,160,20,1,1,0,0,1,0,0,0,8,27,0.21774193548387097,0,9,0,1,0,0,0,0,0
"Jangan dikejar diskon berlari, beli RAWIT diskon datang sendiri.AYO isi ulang kartu AXIS kamu sekarang,dan pastikan besok ikutan promo Rabu RAWIT.Info838.LD279",1,159,21,0,0,0,1,1,0,0,0,6,22,0.171875,0,0,0,0,0,0,0,0,0
JANGAN LUPA kirim 50 SMS sd 16 Juni 2013 utk mendptkan Gratis 50 SMS ke sesame Indosat selama 2 hr (berlaku 1x selama periode prog). Info:100. US6,1,146,27,0,0,0,0,1,0,1,0,16,22,0.2222222222222222,0,0,0,0,0,0,0,0,0
